"Date","Price","Open","High","Low","Change %"
"11/06/2024","0.282","0.365","0.365","0.270","-20.11%"
"11/05/2024","0.353","0.323","0.419","0.312","26.30%"
"11/04/2024","0.280","0.317","0.370","0.313","-3.79%"
"11/01/2024","0.290","0.383","0.397","0.317","-19.08%"
"10/31/2024","0.359","0.399","0.438","0.371","2.87%"
"10/30/2024","0.349","0.374","0.421","0.338","6.24%"
"10/29/2024","0.329","0.347","0.410","0.347","-6.41%"
"10/28/2024","0.351","0.356","0.394","0.327","-4.10%"
"10/25/2024","0.366","0.338","0.412","0.338","-7.58%"
"10/24/2024","0.396","0.401","0.438","0.365","-0.50%"
"10/23/2024","0.398","0.428","0.440","0.361","-2.21%"
"10/22/2024","0.407","0.359","0.429","0.359","10.60%"
"10/21/2024","0.368","0.352","0.388","0.345","6.36%"
"10/18/2024","0.346","0.389","0.389","0.339","-3.89%"
"10/17/2024","0.360","0.415","0.415","0.360","-6.01%"
"10/16/2024","0.383","0.432","0.432","0.376","-11.55%"
"10/15/2024","0.433","0.489","0.489","0.378","-4.42%"
"10/14/2024","0.453","0.484","0.484","0.447","-10.12%"
"10/11/2024","0.504","0.504","0.516","0.479","1.00%"
"10/10/2024","0.499","0.517","0.554","0.493","-1.96%"
"10/09/2024","0.509","0.478","0.552","0.454","6.26%"
"10/08/2024","0.479","0.479","0.479","0.437","7.88%"
"10/07/2024","0.444","0.481","0.481","0.438","-7.88%"
"10/04/2024","0.482","0.470","0.482","0.403","22.96%"
"10/03/2024","0.392","0.441","0.441","0.392","-6.89%"
"10/02/2024","0.421","0.475","0.481","0.397","4.21%"
"10/01/2024","0.404","0.470","0.476","0.404","-3.12%"
"09/30/2024","0.417","0.417","0.478","0.405","-0.48%"
"09/27/2024","0.419","0.461","0.485","0.395","-12.71%"
"09/26/2024","0.480","0.492","0.492","0.414","-2.04%"
"09/25/2024","0.490","0.478","0.496","0.478","-1.41%"
"09/24/2024","0.497","0.491","0.551","0.455","-1.39%"
"09/23/2024","0.504","0.534","0.534","0.481","-5.79%"
"09/20/2024","0.535","0.535","0.535","0.523","-0.19%"
"09/19/2024","0.536","0.536","0.536","0.519","1.52%"
"09/18/2024","0.528","0.493","0.540","0.487","4.35%"
"09/17/2024","0.506","0.488","0.506","0.476","3.48%"
"09/16/2024","0.489","0.542","0.542","0.489","-9.94%"
"09/13/2024","0.543","0.543","0.543","0.502","1.88%"
"09/12/2024","0.533","0.544","0.544","0.498","6.39%"
"09/11/2024","0.501","0.548","0.548","0.454","-4.75%"
"09/10/2024","0.526","0.543","0.549","0.526","-3.31%"
"09/09/2024","0.544","0.550","0.550","0.538","3.03%"
"09/06/2024","0.528","0.528","0.551","0.511","-0.19%"
"09/05/2024","0.529","0.541","0.552","0.506","2.72%"
"09/04/2024","0.515","0.556","0.556","0.504","-3.56%"
"09/03/2024","0.534","0.603","0.603","0.522","-4.30%"
"09/02/2024","0.558","0.604","0.604","0.546","2.01%"
"08/30/2024","0.547","0.582","0.588","0.530","-0.36%"
"08/29/2024","0.549","0.531","0.595","0.508","2.81%"
"08/28/2024","0.534","0.619","0.619","0.534","-4.30%"
"08/27/2024","0.558","0.603","0.609","0.546","3.14%"
"08/26/2024","0.541","0.553","0.553","0.525","2.85%"
"08/23/2024","0.526","0.582","0.588","0.526","-4.19%"
"08/22/2024","0.549","0.544","0.549","0.504","3.58%"
"08/21/2024","0.530","0.553","0.575","0.524","-0.19%"
"08/20/2024","0.531","0.548","0.576","0.520","-3.28%"
"08/19/2024","0.549","0.577","0.583","0.532","-4.19%"
"08/16/2024","0.573","0.618","0.618","0.562","-1.21%"
"08/15/2024","0.580","0.580","0.608","0.535","7.81%"
"08/14/2024","0.538","0.566","0.566","0.521","-0.19%"
"08/13/2024","0.539","0.544","0.556","0.511","-2.18%"
"08/12/2024","0.551","0.562","0.568","0.529","-2.13%"
"08/09/2024","0.563","0.569","0.569","0.552","-0.18%"
"08/08/2024","0.564","0.576","0.576","0.537","-1.57%"
"08/07/2024","0.573","0.606","0.612","0.568","3.80%"
"08/06/2024","0.552","0.580","0.591","0.508","10.84%"
"08/05/2024","0.498","0.487","0.564","0.405","-5.50%"
"08/02/2024","0.527","0.626","0.626","0.444","-18.80%"
"07/31/2024","0.649","0.687","0.687","0.632","-1.22%"
"07/30/2024","0.657","0.674","0.690","0.657","-2.67%"
"07/29/2024","0.675","0.686","0.686","0.637","2.43%"
"07/26/2024","0.659","0.703","0.708","0.659","-4.08%"
"07/25/2024","0.687","0.720","0.720","0.660","-2.69%"
"07/24/2024","0.706","0.744","0.744","0.690","-2.35%"
"07/23/2024","0.723","0.750","0.750","0.712","-7.07%"
"07/22/2024","0.778","0.757","0.778","0.735","2.77%"
"07/19/2024","0.757","0.741","0.757","0.719","3.56%"
"07/18/2024","0.731","0.725","0.752","0.704","3.54%"
"07/17/2024","0.706","0.722","0.728","0.701","-1.67%"
"07/16/2024","0.718","0.734","0.745","0.718","-3.62%"
"07/15/2024","0.745","0.794","0.794","0.729","-4.97%"
"07/12/2024","0.784","0.752","0.789","0.741","4.95%"
"07/11/2024","0.747","0.752","0.806","0.742","-4.96%"
"07/10/2024","0.786","0.813","0.813","0.749","-3.44%"
"07/09/2024","0.814","0.803","0.814","0.803","1.24%"
"07/08/2024","0.804","0.847","0.847","0.793","0.63%"
"07/05/2024","0.799","0.831","0.831","0.799","-1.48%"
"07/04/2024","0.811","0.826","0.826","0.805","-3.91%"
"07/03/2024","0.844","0.850","0.860","0.823","0.48%"
