"Date","Price","Open","High","Low","Change %"
"11/06/2024","0.440","0.590","0.600","0.420","-27.27%"
"11/05/2024","0.605","0.460","0.500","0.410","1.68%"
"11/04/2024","0.595","0.470","0.480","0.380","0.00%"
"11/01/2024","0.595","0.480","0.520","0.420","-4.80%"
"10/31/2024","0.625","0.500","0.530","0.400","-1.57%"
"10/30/2024","0.635","0.500","0.530","0.370","0.00%"
"10/29/2024","0.635","0.490","0.540","0.380","24.51%"
"10/28/2024","0.510","0.750","0.750","0.500","-3.77%"
"10/25/2024","0.530","0.510","0.540","0.400","1.92%"
"10/24/2024","0.520","0.530","0.550","0.490","-30.67%"
"10/23/2024","0.750","0.750","0.750","0.750","31.58%"
"10/22/2024","0.570","0.570","0.590","0.480","-1.72%"
"10/21/2024","0.580","0.550","0.580","0.490","5.45%"
"10/18/2024","0.550","0.570","0.580","0.480","3.77%"
"10/17/2024","0.530","0.570","0.610","0.530","-10.17%"
"10/16/2024","0.590","0.580","0.620","0.540","0.00%"
"10/15/2024","0.590","0.590","0.610","0.570","-1.67%"
"10/14/2024","0.600","0.600","0.650","0.600","-1.64%"
"10/11/2024","0.610","0.610","0.640","0.600","-6.15%"
"10/10/2024","0.650","0.610","0.720","0.530","0.00%"
"10/09/2024","0.650","0.630","0.650","0.600","0.00%"
"10/08/2024","0.650","0.640","0.660","0.600","0.00%"
"10/07/2024","0.650","0.640","0.650","0.600","0.00%"
"10/04/2024","0.650","0.610","0.730","0.530","1.56%"
"10/03/2024","0.640","0.620","0.640","0.600","-3.03%"
"10/02/2024","0.660","0.650","0.680","0.630","-19.51%"
"10/01/2024","0.820","0.670","0.820","0.640","20.59%"
"09/30/2024","0.680","0.680","0.710","0.630","-1.45%"
"09/27/2024","0.690","0.710","0.830","0.670","-4.17%"
"09/26/2024","0.720","0.730","0.830","0.690","7.46%"
"09/25/2024","0.670","0.670","0.700","0.650","0.00%"
"09/24/2024","0.670","0.690","0.710","0.540","-20.24%"
"09/23/2024","0.840","0.730","0.840","0.680","16.67%"
"09/20/2024","0.720","0.780","0.840","0.710","-10.00%"
"09/19/2024","0.800","0.710","0.840","0.710","6.67%"
"09/18/2024","0.750","0.730","0.840","0.730","2.74%"
"09/17/2024","0.730","0.760","0.860","0.700","0.00%"
"09/16/2024","0.730","0.740","0.860","0.730","-2.67%"
"09/13/2024","0.750","0.760","0.890","0.740","-2.60%"
"09/12/2024","0.770","0.780","0.890","0.730","-14.44%"
"09/11/2024","0.900","0.760","0.900","0.700","15.38%"
"09/10/2024","0.780","0.790","0.900","0.740","-16.13%"
"09/09/2024","0.930","0.810","0.930","0.760","19.23%"
"09/06/2024","0.780","0.690","0.900","0.680","-1.27%"
"09/05/2024","0.790","0.780","0.900","0.740","3.95%"
"09/04/2024","0.760","0.790","0.820","0.750","-3.80%"
"09/03/2024","0.790","0.800","0.910","0.760","0.00%"
"09/02/2024","0.790","0.800","0.810","0.760","1.28%"
"08/30/2024","0.780","0.770","0.790","0.720","1.30%"
"08/29/2024","0.770","0.790","0.820","0.700","-4.94%"
"08/28/2024","0.810","0.790","0.820","0.760","-1.22%"
"08/27/2024","0.820","0.810","0.830","0.770","2.50%"
"08/26/2024","0.800","0.810","0.820","0.750","-1.23%"
"08/23/2024","0.810","0.800","0.830","0.770","0.00%"
"08/22/2024","0.810","0.800","0.830","0.770","0.00%"
"08/21/2024","0.810","0.810","0.830","0.770","0.00%"
"08/20/2024","0.810","0.800","0.820","0.780","-1.22%"
"08/19/2024","0.820","0.830","0.840","0.770","-1.20%"
"08/16/2024","0.830","0.840","0.900","0.790","-2.35%"
"08/15/2024","0.850","0.820","0.870","0.770","1.19%"
"08/14/2024","0.840","0.820","0.860","0.770","2.44%"
"08/13/2024","0.820","0.830","0.900","0.790","-3.53%"
"08/12/2024","0.850","0.850","0.900","0.820","0.00%"
"08/09/2024","0.850","0.850","0.850","0.850","-2.30%"
"08/08/2024","0.870","0.840","0.890","0.830","0.00%"
"08/07/2024","0.870","0.870","0.890","0.840","1.16%"
"08/06/2024","0.860","0.840","0.910","0.810","8.86%"
"08/05/2024","0.790","0.840","0.910","0.750","-10.23%"
