Date,Last Price,SMAVG (15),SMAVG (50),SMAVG (200)
2024-11-08,112.586,112.626,112.597,112.454
2024-11-07,112.621,112.641,112.597,112.456
2024-11-06,112.633,112.652,112.597,112.455
2024-11-05,112.41,112.659,112.597,112.455
2024-11-04,112.684,112.674,112.6,112.457
2024-11-01,112.697,112.659,112.599,112.458
2024-10-31,112.595,112.636,112.599,112.458
2024-10-30,112.586,112.614,112.601,112.46
2024-10-29,112.653,112.599,112.605,112.462
2024-10-28,112.736,112.586,112.609,112.464
2024-10-25,112.685,112.572,112.609,112.466
2024-10-24,112.635,112.566,112.609,112.466
2024-10-23,112.576,112.572,112.609,112.467
2024-10-22,112.581,112.583,112.614,112.467
2024-10-21,112.716,112.598,112.619,112.469
2024-10-18,112.811,112.602,112.62,112.47
2024-10-17,112.776,112.598,112.619,112.47
2024-10-16,112.74,112.594,112.617,112.473
2024-10-15,112.638,112.583,112.617,112.478
2024-10-14,112.458,112.582,112.622,112.483
2024-10-11,112.348,112.583,112.635,112.489
2024-10-10,112.269,112.574,112.647,112.495
2024-10-09,112.367,112.579,112.653,112.501
2024-10-08,112.449,112.583,112.656,112.508
2024-10-07,112.538,112.591,112.658,112.515
2024-10-04,112.588,112.597,112.658,112.521
2024-10-03,112.73,112.596,112.657,112.529
2024-10-02,112.733,112.587,112.65,112.535
2024-10-01,112.816,112.584,112.643,112.541
2024-09-30,112.774,112.57,112.631,112.545
2024-09-27,112.75,112.555,112.621,112.548
2024-09-26,112.716,112.546,112.613,112.552
2024-09-25,112.577,112.539,112.606,112.557
2024-09-24,112.617,112.548,112.604,112.563
2024-09-23,112.47,112.55,112.599,112.569
2024-09-20,112.216,112.553,112.595,112.575
2024-09-19,112.337,112.576,112.597,112.582
2024-09-18,112.429,112.595,112.593,112.586
2024-09-17,112.577,112.611,112.586,112.59
2024-09-16,112.622,112.608,112.578,112.592
2024-09-13,112.582,112.61,112.569,112.592
2024-09-12,112.585,112.619,112.559,112.591
2024-09-11,112.695,112.624,112.549,112.591
2024-09-10,112.599,112.631,112.536,112.592
2024-09-09,112.552,112.647,112.527,112.593
2024-09-06,112.619,112.661,112.525,112.594
2024-09-05,112.613,112.664,112.52,112.595
2024-09-04,112.702,112.664,112.515,112.595
2024-09-03,112.646,112.673,112.507,112.595
2024-09-02,112.526,112.686,112.499,112.596
2024-08-30,112.557,112.704,112.492,112.596
2024-08-29,112.625,112.715,112.481,112.596
2024-08-28,112.668,112.72,112.463,112.595
2024-08-27,112.522,112.724,112.445,112.595
2024-08-26,112.661,112.748,112.43,112.596
2024-08-23,112.708,112.777,112.412,112.596
2024-08-22,112.66,112.793,112.39,112.596
2024-08-21,112.812,112.79,112.368,112.597
2024-08-20,112.834,112.77,112.338,112.598
2024-08-19,112.763,112.748,112.305,112.599
2024-08-16,112.661,112.735,112.274,112.601
2024-08-15,112.621,112.727,112.248,112.603
2024-08-14,112.83,112.711,112.223,112.605
2024-08-13,112.846,112.679,112.191,112.605
2024-08-12,112.79,112.639,112.158,112.605
2024-08-09,112.726,112.606,112.126,112.605
2024-08-08,112.702,112.579,112.093,112.605
2024-08-07,112.73,112.558,112.065,112.604
2024-08-06,112.883,112.539,112.04,112.602
2024-08-05,113.085,112.505,112.013,112.601
2024-08-02,112.958,112.451,111.983,112.6
2024-07-31,112.606,112.407,111.955,112.599
2024-07-30,112.509,112.376,111.94,112.6
2024-07-29,112.512,112.349,111.928,112.602
2024-07-26,112.566,112.327,111.918,112.604
2024-07-25,112.548,112.301,111.908,112.605
2024-07-24,112.369,112.268,111.9,112.606
2024-07-23,112.358,112.251,111.893,112.608
2024-07-22,112.25,112.23,111.886,112.609
2024-07-19,112.283,112.222,111.882,112.613
2024-07-18,112.324,112.234,111.878,112.616
2024-07-17,112.387,112.237,111.876,112.62
2024-07-16,112.452,112.235,111.873,112.622
2024-07-15,112.369,112.226,111.868,112.625
2024-07-12,112.28,112.215,111.864,112.629
2024-07-11,112.295,112.209,111.865,112.634
2024-07-10,112.137,112.191,111.869,112.638
2024-07-09,112.105,112.163,111.873,112.643
2024-07-08,112.181,112.14,111.877,112.647
2024-07-05,112.171,112.112,111.881,112.65
2024-07-04,112.057,112.087,111.887,112.654
2024-07-03,112.117,112.057,111.896,112.659
2024-07-02,112.035,112.017,111.901,112.665
2024-07-01,112.135,111.971,111.909,112.67
2024-06-28,112.468,111.907,111.917,112.675
2024-06-27,112.37,111.825,111.918,112.679
2024-06-26,112.348,111.755,111.923,112.684
2024-06-25,112.323,111.69,111.931,112.689
2024-06-24,112.205,111.619,111.935,112.695
2024-06-21,112.191,111.552,111.946,112.703
2024-06-20,112.025,111.484,111.959,112.711
2024-06-19,111.713,111.42,111.973,112.719
2024-06-18,111.763,111.393,111.994,112.73
2024-06-17,111.763,111.376,112.015,112.739
2024-06-14,111.798,111.36,112.033,112.749
2024-06-13,111.6,111.346,112.051,112.758
2024-06-12,111.523,111.343,112.077,112.768
2024-06-11,111.343,111.365,112.106,112.778
2024-06-10,111.171,111.403,112.138,112.79
2024-06-07,111.242,111.458,112.174,112.801
2024-06-06,111.321,111.514,112.212,112.812
2024-06-05,111.364,111.569,112.246,112.823
2024-06-04,111.27,111.614,112.27,112.833
2024-06-03,111.199,111.663,112.295,112.844
2024-05-31,111.169,111.718,112.317,112.856
2024-05-30,111.062,111.78,112.342,112.867
2024-05-29,111.305,111.856,112.374,112.879
2024-05-28,111.511,111.919,112.404,112.891
2024-05-27,111.527,111.965,112.431,112.903
2024-05-24,111.576,112.007,112.461,112.916
2024-05-23,111.565,112.057,112.49,112.926
2024-05-22,111.847,112.119,112.519,112.937
2024-05-21,111.922,112.154,112.542,112.947
2024-05-17,111.992,112.178,112.564,112.957
2024-05-16,112.078,112.205,112.582,112.965
2024-05-15,112.155,112.231,112.597,112.973
2024-05-14,112.027,112.252,112.608,112.981
2024-05-13,112.007,112.275,112.618,112.99
2024-05-10,112.033,112.305,112.628,112.999
2024-05-08,112.087,112.338,112.638,113.009
2024-05-07,112.206,112.366,112.651,113.019
2024-05-06,112.252,112.394,112.659,113.027
2024-05-03,112.208,112.426,112.665,113.036
2024-05-02,112.152,112.45,112.675,113.047
2024-04-30,112.33,112.489,112.683,113.056
2024-04-29,112.486,112.523,112.687,113.063
2024-04-26,112.368,112.54,112.691,113.07
2024-04-25,112.294,112.566,112.698,113.076
2024-04-24,112.391,112.601,112.708,113.081
