Date,Last Price,SMAVG (15),SMAVG (50),SMAVG (200)
2024-11-08,101.498,101.463,101.363,100.936
2024-11-07,101.505,101.462,101.358,100.932
2024-11-06,101.518,101.46,101.353,100.927
2024-11-05,101.403,101.455,101.348,100.922
2024-11-04,101.488,101.455,101.345,100.918
2024-11-01,101.498,101.444,101.34,100.914
2024-10-31,101.433,101.431,101.335,100.909
2024-10-30,101.424,101.418,101.332,100.905
2024-10-29,101.452,101.408,101.329,100.902
2024-10-28,101.489,101.399,101.326,100.898
2024-10-25,101.474,101.39,101.322,100.894
2024-10-24,101.455,101.382,101.317,100.889
2024-10-23,101.43,101.38,101.312,100.884
2024-10-22,101.413,101.377,101.31,100.879
2024-10-21,101.464,101.377,101.307,100.875
2024-10-18,101.49,101.374,101.304,100.87
2024-10-17,101.471,101.367,101.3,100.865
2024-10-16,101.438,101.362,101.296,100.861
2024-10-15,101.401,101.356,101.292,100.857
2024-10-14,101.33,101.352,101.29,100.854
2024-10-11,101.296,101.348,101.291,100.852
2024-10-10,101.25,101.341,101.292,100.849
2024-10-09,101.268,101.337,101.29,100.846
2024-10-08,101.322,101.335,101.287,100.844
2024-10-07,101.344,101.332,101.282,100.841
2024-10-04,101.357,101.328,101.278,100.839
2024-10-03,101.428,101.322,101.273,100.837
2024-10-02,101.386,101.311,101.265,100.835
2024-10-01,101.416,101.307,101.258,100.832
2024-09-30,101.406,101.297,101.249,100.828
2024-09-27,101.394,101.286,101.24,100.824
2024-09-26,101.387,101.278,101.232,100.821
2024-09-25,101.353,101.27,101.225,100.818
2024-09-24,101.337,101.265,101.219,100.815
2024-09-23,101.273,101.26,101.212,100.813
2024-09-20,101.19,101.257,101.206,100.81
2024-09-19,101.194,101.26,101.202,100.808
2024-09-18,101.235,101.266,101.196,100.805
2024-09-17,101.276,101.268,101.189,100.801
2024-09-16,101.281,101.264,101.181,100.797
2024-09-13,101.273,101.262,101.173,100.792
2024-09-12,101.268,101.262,101.165,100.786
2024-09-11,101.32,101.262,101.156,100.78
2024-09-10,101.267,101.26,101.146,100.775
2024-09-09,101.243,101.261,101.138,100.77
2024-09-06,101.274,101.264,101.132,100.766
2024-09-05,101.272,101.261,101.125,100.761
2024-09-04,101.273,101.257,101.118,100.756
2024-09-03,101.264,101.26,101.11,100.751
2024-09-02,101.227,101.261,101.102,100.746
2024-08-30,101.237,101.267,101.095,100.741
2024-08-29,101.274,101.269,101.086,100.736
2024-08-28,101.267,101.268,101.074,100.731
2024-08-27,101.225,101.267,101.062,100.726
2024-08-26,101.248,101.272,101.051,100.722
2024-08-23,101.274,101.283,101.039,100.717
2024-08-22,101.259,101.287,101.026,100.712
2024-08-21,101.293,101.279,101.012,100.707
2024-08-20,101.291,101.267,100.996,100.702
2024-08-19,101.277,101.254,100.979,100.698
2024-08-16,101.235,101.243,100.962,100.694
2024-08-15,101.217,101.235,100.946,100.69
2024-08-14,101.308,101.223,100.93,100.686
2024-08-13,101.29,101.203,100.912,100.682
2024-08-12,101.314,101.182,100.894,100.677
2024-08-09,101.267,101.158,100.875,100.673
2024-08-08,101.259,101.141,100.856,100.668
2024-08-07,101.243,101.125,100.839,100.663
2024-08-06,101.304,101.112,100.823,100.657
2024-08-05,101.408,101.092,100.807,100.652
2024-08-02,101.339,101.064,100.788,100.647
2024-07-31,101.136,101.041,100.771,100.642
2024-07-30,101.117,101.025,100.76,100.637
2024-07-29,101.092,101.008,100.75,100.633
2024-07-26,101.117,100.994,100.742,100.629
2024-07-25,101.117,100.98,100.733,100.625
