Date,Last Price,Volume,SMAVG (15)
2024-10-25,128.05,74736,758245.0
2024-10-24,128.45,592870,808408.0
2024-10-23,126.05,619411,824265.0
2024-10-22,126.95,388665,853336.0
2024-10-21,126.65,666808,928512.0
2024-10-18,127.45,946734,959551.0
2024-10-17,126.5,818465,1018908.0
2024-10-16,126.7,1104836,1138996.0
2024-10-15,127.85,1205366,1151041.0
2024-10-14,130.85,881253,1164276.0
2024-10-11,131.4,592954,1180815.0
2024-10-10,131.2,807584,1365108.0
2024-10-09,131.85,664274,1416074.0
2024-10-08,130.05,1125444,1432653.0
2024-10-07,133.5,884271,1428276.0
2024-10-04,130.85,827178,1414965.0
2024-10-03,130.9,830733,1407680.0
2024-10-02,133.5,1055480,1411766.0
2024-10-01,130.8,1516300,1391557.0
2024-09-30,133.8,1132397,1362789.0
2024-09-27,134.65,1837081,1359498.0
2024-09-26,131.15,2619790,1307167.0
2024-09-25,121.4,1285516,1217698.0
2024-09-24,118.75,1403882,1254356.0
2024-09-23,114.1,1129341,1197339.0
2024-09-20,114.55,3357350,1148642.0
2024-09-19,118.05,1572079,978447.0
2024-09-18,118.0,912953,922526.0
2024-09-17,119.85,1059786,895010.0
2024-09-16,118.85,684611,865777.0
2024-09-13,120.5,717902,843747.0
2024-09-12,119.35,892014,825417.0
2024-09-11,118.45,752350,814355.0
2024-09-10,118.9,1084783,799576.0
2024-09-09,119.75,1083038,769368.0
2024-09-06,119.7,1052112,734952.0
2024-09-05,122.95,1277751,697491.0
2024-09-04,125.0,1835385,681265.0
2024-09-03,132.7,548622,612886.0
2024-09-02,133.5,398888,638254.0
2024-08-30,133.85,804432,654251.0
2024-08-29,133.15,733262,635513.0
2024-08-28,133.35,500207,642594.0
2024-08-27,134.6,621299,667389.0
2024-08-26,137.1,354157,711522.0
2024-08-23,137.7,442950,781158.0
2024-08-22,137.25,726095,854653.0
2024-08-21,136.25,530660,862477.0
2024-08-20,135.3,631666,868406.0
2024-08-19,135.55,566789,867658.0
2024-08-16,132.65,490198,887913.0
2024-08-15,133.1,1034370,920268.0
2024-08-14,129.7,809700,910535.0
2024-08-13,128.5,929130,892948.0
2024-08-12,128.2,638848,864461.0
2024-08-09,126.65,523368,876602.0
2024-08-08,125.95,839477,888903.0
2024-08-07,125.35,872134,887144.0
2024-08-06,122.4,1283294,919374.0
2024-08-05,124.15,1398689,933175.0
2024-08-02,127.55,1545383,881755.0
2024-07-31,134.0,843455,827491.0
2024-07-30,134.25,619592,803813.0
2024-07-29,133.4,620447,809986.0
2024-07-26,134.9,870605,813697.0
2024-07-25,131.2,975534,793736.0
2024-07-24,133.4,888375,766029.0
2024-07-23,135.75,545892,750454.0
2024-07-22,134.45,501826,774780.0
2024-07-19,133.2,820952,784543.0
2024-07-18,134.85,707883,778348.0
2024-07-17,136.25,813105,768879.0
2024-07-16,138.35,1355578,778922.0
2024-07-15,137.05,1490305,781485.0
2024-07-12,143.0,627399,750101.0
2024-07-11,141.35,731411,849272.0
2024-07-10,139.35,488297,872986.0
2024-07-09,138.1,712176,887363.0
2024-07-08,138.25,676115,880723.0
2024-07-05,139.8,571194,892852.0
2024-07-04,140.55,559925,914372.0
2024-07-03,140.9,654757,925212.0
2024-07-02,141.1,910779,926276.0
2024-07-01,140.55,648262,903892.0
2024-06-28,140.25,728030,897056.0
2024-06-27,142.0,565845,914953.0
2024-06-26,142.15,963763,979053.0
2024-06-25,144.35,1394021,976553.0
2024-06-24,140.5,1019548,920228.0
2024-06-21,138.95,2114952,888269.0
2024-06-20,139.65,1087120,854502.0
2024-06-19,140.95,703953,831078.0
2024-06-18,141.25,612578,831853.0
2024-06-17,142.1,858050,834950.0
2024-06-14,143.85,893996,803677.0
2024-06-13,146.05,722526,799093.0
2024-06-12,148.55,670718,798613.0
2024-06-11,147.05,575013,833889.0
2024-06-10,148.55,545732,877552.0
2024-06-07,150.1,996487,992939.0
2024-06-06,149.2,1527343,981576.0
2024-06-05,146.8,926265,918857.0
2024-06-04,143.75,549135,904275.0
2024-06-03,143.65,540170,917663.0
2024-05-31,144.05,1608439,942680.0
2024-05-30,142.75,735767,875257.0
2024-05-29,142.25,715574,870147.0
2024-05-28,143.8,659037,857159.0
2024-05-27,143.8,388957,863727.0
2024-05-24,143.35,825225,893677.0
2024-05-23,142.25,715338,893646.0
2024-05-22,140.6,1199851,883209.0
2024-05-21,143.55,1229954,846057.0
2024-05-17,144.75,2276541,817408.0
2024-05-16,137.45,826043,708584.0
2024-05-15,136.55,586563,698374.0
2024-05-14,136.4,707534,707979.0
2024-05-13,134.7,749952,775402.0
2024-05-10,135.5,915426,786121.0
2024-05-08,132.95,597088,813981.0
2024-05-07,132.85,659117,839138.0
2024-05-06,131.95,520753,843528.0
2024-05-03,131.8,757568,903337.0
2024-05-02,128.15,838199,920012.0
2024-04-30,127.9,824768,907073.0
2024-04-29,129.7,558783,887676.0
2024-04-26,129.85,642572,894896.0
2024-04-25,127.75,800215,911069.0
2024-04-24,129.25,644175,897029.0
2024-04-23,129.35,672897,924231.0
2024-04-22,127.2,730636,945512.0
2024-04-19,127.45,1718883,955691.0
2024-04-18,128.45,910729,896198.0
2024-04-17,131.75,1333332,897400.0
2024-04-16,127.95,974442,869281.0
2024-04-15,130.2,724969,910583.0
2024-04-12,128.05,1417894,939050.0
2024-04-11,132.05,1007679,947928.0
2024-04-10,133.45,644119,961806.0
2024-04-09,133.85,533808,997766.0
2024-04-08,135.1,667087,1181560.0
2024-04-05,133.95,885177,1217087.0
2024-04-04,137.75,589615,1208101.0
2024-04-03,137.9,1052198,1232635.0
2024-04-02,136.2,992110,1223834.0
2024-03-28,137.5,883322,1218272.0
2024-03-27,136.5,826489,1207722.0
2024-03-26,134.7,928762,1200518.0
2024-03-25,134.75,911543,1179938.0
2024-03-22,134.25,1593971,1174543.0
2024-03-21,137.85,1151982,1135958.0
2024-03-20,136.8,1551054,1244536.0
2024-03-19,139.85,1215848,1210775.0
2024-03-18,142.05,1183525,1176950.0
2024-03-15,145.8,3290713,1136310.0
2024-03-14,148.2,1200001,957833.0
2024-03-13,147.7,750380,940516.0
2024-03-12,146.25,957629,951916.0
2024-03-11,144.95,920181,946859.0
2024-03-08,145.1,908673,925387.0
2024-03-07,144.5,725079,932553.0
2024-03-06,141.5,718423,932966.0
2024-03-05,141.5,620063,917825.0
2024-03-04,142.4,830625,945106.0
2024-03-01,143.15,1015198,943580.0
2024-02-29,140.6,2780644,929627.0
2024-02-28,138.55,1044640,812547.0
2024-02-27,137.0,708468,788596.0
2024-02-26,137.05,573926,795812.0
2024-02-23,137.6,613568,802252.0
2024-02-22,135.75,940249,817443.0
2024-02-21,134.05,921368,827501.0
2024-02-20,135.8,881773,844664.0
2024-02-19,135.9,598111,864500.0
2024-02-16,137.05,1016157,905536.0
2024-02-15,136.45,731272,972802.0
2024-02-14,134.25,491315,987786.0
2024-02-13,132.7,1029279,1055525.0
2024-02-12,135.15,807729,1088773.0
2024-02-09,134.25,805900,1106402.0
2024-02-08,133.45,1024450,1155783.0
2024-02-07,129.15,685376,1297600.0
2024-02-06,128.7,816708,1375685.0
2024-02-05,128.6,670528,1403433.0
2024-02-02,128.6,841431,1417623.0
2024-02-01,128.5,1091124,1477466.0
2024-01-31,129.0,1178810,1461313.0
2024-01-30,130.45,1179315,1436891.0
2024-01-29,128.75,1213645,1417612.0
2024-01-26,128.5,2025148,1394423.0
2024-01-25,121.0,956038,1315787.0
