Date,CHF Switzerland 1Y(BVCSHD01 BVLI <Index>) (Mid Yld)
2024-10-24,0.6213
2024-10-23,0.6448
2024-10-22,0.6544
2024-10-21,0.6532
2024-10-18,0.6383
2024-10-17,0.6372
2024-10-16,0.6505
2024-10-15,0.6765
2024-10-14,0.688
2024-10-11,0.7017
2024-10-10,0.7278
2024-10-09,0.7109
2024-10-08,0.7021
2024-10-07,0.6884
2024-10-04,0.6799
2024-10-03,0.665
2024-10-02,0.6907
2024-10-01,0.6754
2024-09-30,0.6682
2024-09-27,0.7007
2024-09-26,0.6839
2024-09-25,0.646
2024-09-24,0.6593
2024-09-23,0.6786
2024-09-20,0.6896
2024-09-19,0.7052
2024-09-18,0.6919
2024-09-17,0.6805
2024-09-16,0.6817
2024-09-13,0.7037
2024-09-12,0.7305
2024-09-11,0.7236
2024-09-10,0.7363
2024-09-09,0.7499
2024-09-06,0.7473
2024-09-05,0.7435
2024-09-04,0.7428
2024-09-03,0.7589
2024-09-02,0.7603
2024-08-30,0.7613
2024-08-29,0.7593
2024-08-28,0.7859
2024-08-27,0.7943
2024-08-26,0.7885
2024-08-23,0.7855
2024-08-22,0.7952
2024-08-21,0.8092
2024-08-20,0.8096
2024-08-19,0.8175
2024-08-16,0.8153
2024-08-15,0.8198
2024-08-14,0.7941
2024-08-13,0.7922
2024-08-12,0.8092
2024-08-09,0.8218
2024-08-08,0.8123
2024-08-07,0.8249
2024-08-06,0.8102
2024-08-05,0.7891
2024-08-02,0.8528
2024-07-31,0.8856
2024-07-30,0.9047
2024-07-29,0.9073
2024-07-26,0.8657
2024-07-25,0.8649
2024-07-24,0.8888
2024-07-23,0.9003
2024-07-22,0.9097
2024-07-19,0.9151
2024-07-18,0.8987
2024-07-17,0.8969
2024-07-16,0.8948
2024-07-15,0.9073
2024-07-12,0.9175
2024-07-11,0.9227
2024-07-10,0.9425
2024-07-09,0.9514
2024-07-08,0.9548
2024-07-05,0.9472
2024-07-04,0.9551
2024-07-03,0.9533
2024-07-02,0.9669
2024-07-01,0.958
2024-06-28,0.9503
2024-06-27,0.956
2024-06-26,0.9627
2024-06-25,0.9596
2024-06-24,0.9604
2024-06-21,0.9486
2024-06-20,0.9638
2024-06-19,1.0524
2024-06-18,1.057
2024-06-17,1.0606
2024-06-14,1.0419
2024-06-13,1.0736
2024-06-12,1.0964
2024-06-11,1.1126
2024-06-10,1.1316
2024-06-07,1.1292
2024-06-06,1.1316
2024-06-05,1.1487
2024-06-04,1.1502
2024-06-03,1.1617
2024-05-31,1.1726
2024-05-30,1.1888
2024-05-29,1.151
2024-05-28,1.1395
2024-05-27,1.1407
2024-05-24,1.1436
2024-05-23,1.1454
2024-05-22,1.125
2024-05-21,1.118
2024-05-17,1.1195
2024-05-16,1.1128
2024-05-15,1.1263
2024-05-14,1.119
2024-05-13,1.1285
2024-05-10,1.1121
2024-05-08,1.1354
2024-05-07,1.1175
2024-05-06,1.1158
2024-05-03,1.1156
2024-05-02,1.1415
2024-04-30,1.1356
2024-04-29,1.1221
2024-04-26,1.143
2024-04-25,1.1263
2024-04-24,1.123
2024-04-23,1.1185
2024-04-22,1.122
2024-04-19,1.1313
2024-04-18,1.135
2024-04-17,1.1452
2024-04-16,1.1597
2024-04-15,1.1561
2024-04-12,1.1211
2024-04-11,1.141
2024-04-10,1.1242
2024-04-09,1.1218
2024-04-08,1.1246
2024-04-05,1.1279
2024-04-04,1.1393
2024-04-03,1.1731
2024-04-02,1.1635
2024-03-28,1.1628
2024-03-27,1.1509
2024-03-26,1.1648
2024-03-25,1.1657
2024-03-22,1.1528
2024-03-21,1.1612
2024-03-20,1.3262
2024-03-19,1.3364
2024-03-18,1.3641
2024-03-15,1.3533
2024-03-14,1.3264
2024-03-13,1.3153
2024-03-12,1.312
2024-03-11,1.2966
2024-03-08,1.2923
2024-03-07,1.3
2024-03-06,1.2987
2024-03-05,1.2799
2024-03-04,1.2862
2024-03-01,1.2671
2024-02-29,1.288
2024-02-28,1.3085
2024-02-27,1.3156
2024-02-26,1.3062
2024-02-23,1.3007
2024-02-22,1.3176
2024-02-21,1.3197
2024-02-20,1.3068
2024-02-19,1.3241
2024-02-16,1.3223
2024-02-15,1.2939
2024-02-14,1.2999
2024-02-13,1.2917
2024-02-12,1.3519
2024-02-09,1.3771
2024-02-08,1.3672
2024-02-07,1.3602
2024-02-06,1.3696
2024-02-05,1.3794
2024-02-02,1.3352
2024-02-01,1.3037
2024-01-31,1.3118
2024-01-30,1.33
2024-01-29,1.3229
2024-01-26,1.343
2024-01-25,1.3453
2024-01-24,1.3685
2024-01-23,1.3717
2024-01-22,1.3693
2024-01-19,1.3713
2024-01-18,1.3585
2024-01-17,1.3608
2024-01-16,1.3382
2024-01-15,1.3421
2024-01-12,1.3376
2024-01-11,1.3729
2024-01-10,1.3806
2024-01-09,1.3758
2024-01-08,1.3804
