Date,Last Price,Volume,SMAVG (15)
2024-10-25,279.6,340939,943983.0
2024-10-24,279.8,1072961,984051.0
2024-10-23,277.2,1217847,974103.0
2024-10-22,272.2,972925,975280.0
2024-10-21,272.9,726336,996665.0
2024-10-18,273.3,956441,1035168.0
2024-10-17,271.6,870440,1042843.0
2024-10-16,269.6,799870,1066968.0
2024-10-15,271.3,1073388,1061572.0
2024-10-14,269.6,753293,1041454.0
2024-10-11,268.4,847932,1053643.0
2024-10-10,266.1,1082015,1129734.0
2024-10-09,265.7,705514,1102749.0
2024-10-08,263.4,1541801,1122001.0
2024-10-07,260.1,1198036,1144891.0
2024-10-04,258.5,941973,1122953.0
2024-10-03,261.2,923739,1131407.0
2024-10-02,265.6,1235492,1245320.0
2024-10-01,265.0,1293711,1232943.0
2024-09-30,270.6,1303874,1229208.0
2024-09-27,272.2,1071560,1267412.0
2024-09-26,270.6,1232314,1265193.0
2024-09-25,271.5,718934,1285485.0
2024-09-24,270.1,771618,1376316.0
2024-09-23,268.8,936135,1418492.0
2024-09-20,269.2,1989291,1422475.0
2024-09-19,267.5,677244,1385863.0
2024-09-18,268.4,994291,1430483.0
2024-09-17,266.2,1885146,1424638.0
2024-09-16,264.1,868975,1350199.0
2024-09-13,265.6,1068774,1329391.0
2024-09-12,263.0,2632434,1301474.0
2024-09-11,268.8,1049849,1163521.0
2024-09-10,268.9,1237679,1144715.0
2024-09-09,267.2,1876936,1121223.0
2024-09-06,274.2,1038279,1050169.0
2024-09-05,276.2,1536696,1039286.0
2024-09-04,279.2,2081391,988936.0
2024-09-03,281.6,1404260,911844.0
2024-09-02,287.7,995878,873687.0
2024-08-30,287.2,1440113,841556.0
2024-08-29,285.4,1346540,790355.0
2024-08-28,282.2,906617,759159.0
2024-08-27,282.0,768562,778932.0
2024-08-26,285.0,556853,833988.0
2024-08-23,283.2,650023,946769.0
2024-08-22,282.9,563136,1002424.0
2024-08-21,283.2,767763,1048165.0
2024-08-20,284.0,885298,1045877.0
2024-08-19,283.2,811118,1053195.0
2024-08-16,281.3,875039,1110861.0
2024-08-15,281.7,781447,1175997.0
2024-08-14,281.0,925012,1194268.0
2024-08-13,279.4,831912,1213789.0
2024-08-12,277.8,513905,1243022.0
2024-08-09,277.1,672103,1321781.0
2024-08-08,275.6,878601,1384750.0
2024-08-07,274.2,1203205,1511651.0
2024-08-06,266.5,1594412,1489287.0
2024-08-05,270.0,2248556,1471191.0
2024-08-02,281.1,1484858,1371699.0
2024-07-31,285.8,1249240,1335456.0
2024-07-30,285.5,733452,1304718.0
2024-07-29,285.4,995065,1317123.0
2024-07-26,286.0,1676102,1303668.0
2024-07-25,277.5,1852081,1242238.0
2024-07-24,273.5,1055517,1189305.0
2024-07-23,273.3,1217820,1180383.0
2024-07-22,280.1,1270413,1155489.0
2024-07-19,278.3,1695286,1122297.0
2024-07-18,278.4,1616646,1076433.0
2024-07-17,274.0,2782116,1025793.0
2024-07-16,258.9,867734,915184.0
2024-07-15,258.7,1322974,919001.0
2024-07-12,254.8,756177,894688.0
2024-07-11,252.1,941213,1066282.0
2024-07-10,249.0,788169,1088290.0
2024-07-09,244.6,919533,1109053.0
2024-07-08,243.7,793240,1108238.0
2024-07-05,243.3,754651,1127635.0
2024-07-04,243.4,1058088,1153870.0
2024-07-03,246.0,921686,1155752.0
2024-07-02,248.5,844412,1160787.0
2024-07-01,250.1,772527,1169990.0
2024-06-28,249.5,1007328,1196165.0
2024-06-27,250.4,857051,1228115.0
2024-06-26,249.6,1122982,1231491.0
2024-06-25,253.4,924991,1224789.0
2024-06-24,255.4,958270,1227143.0
2024-06-21,252.8,3330089,1217828.0
2024-06-20,250.0,1271333,1154364.0
2024-06-19,249.8,1099617,1136712.0
2024-06-18,247.9,907299,1135383.0
2024-06-17,245.5,1084206,1141432.0
2024-06-14,247.6,1148170,1104895.0
2024-06-13,245.8,1086313,1093921.0
2024-06-12,243.5,997213,1102424.0
2024-06-11,241.6,982460,1135290.0
2024-06-10,239.7,1165148,1189746.0
2024-06-07,242.6,1486576,1234392.0
2024-06-06,238.1,907691,1291095.0
2024-06-05,236.1,1022456,1320559.0
2024-06-04,234.2,960303,1356054.0
2024-06-03,232.1,818545,1370747.0
2024-05-31,231.0,2378136,1400868.0
2024-05-30,228.3,1006547,1319334.0
