Date,Last Price,Volume,SMAVG (15)
2024-10-25,521.2,57374,231739.0
2024-10-24,520.6,160689,239828.0
2024-10-23,519.6,168027,243004.0
2024-10-22,520.4,226385,246728.0
2024-10-21,526.2,198689,249698.0
2024-10-18,527.4,252058,253799.0
2024-10-17,527.0,388801,255828.0
2024-10-16,524.0,236104,243097.0
2024-10-15,523.4,287640,243083.0
2024-10-14,521.8,185853,239788.0
2024-10-11,519.2,238630,242906.0
2024-10-10,512.6,254200,255781.0
2024-10-09,509.4,289090,252475.0
2024-10-08,507.8,276219,253223.0
2024-10-07,507.0,256325,256386.0
2024-10-04,509.6,178707,258165.0
2024-10-03,504.8,208336,262801.0
2024-10-02,508.0,223884,269315.0
2024-10-01,509.0,270940,274040.0
2024-09-30,509.8,260203,278820.0
2024-09-27,512.8,282481,279067.0
2024-09-26,515.4,197844,275524.0
2024-09-25,517.8,235899,281370.0
2024-09-24,514.6,238213,282765.0
2024-09-23,512.6,232620,282011.0
2024-09-20,508.6,431760,280036.0
2024-09-19,509.4,204604,270795.0
2024-09-18,507.0,300314,268721.0
2024-09-17,513.0,323666,269145.0
2024-09-16,512.0,283004,256963.0
2024-09-13,508.2,248240,246599.0
2024-09-12,503.6,306046,240923.0
2024-09-11,500.8,294772,232192.0
2024-09-10,497.5,342640,225651.0
2024-09-09,499.9,263904,216168.0
2024-09-06,489.5,229334,211561.0
2024-09-05,493.9,285537,210496.0
2024-09-04,496.2,256828,207372.0
2024-09-03,496.5,226892,204932.0
2024-09-02,496.0,202998,201410.0
2024-08-30,491.4,293140,200251.0
2024-08-29,492.6,173493,194984.0
2024-08-28,494.6,306675,211313.0
2024-08-27,489.5,140944,208729.0
2024-08-26,489.2,127549,220787.0
2024-08-23,488.8,163097,243660.0
2024-08-22,485.5,175079,263683.0
2024-08-21,483.7,196655,270754.0
2024-08-20,483.4,200399,270619.0
2024-08-19,483.1,194801,265123.0
2024-08-16,481.2,213356,265540.0
2024-08-15,479.9,238669,262408.0
2024-08-14,473.9,220239,256721.0
2024-08-13,467.2,174058,252109.0
2024-08-12,464.7,185612,258021.0
2024-08-09,460.8,214139,264432.0
2024-08-08,459.3,418423,260393.0
2024-08-07,465.1,267916,242884.0
2024-08-06,452.7,321816,238263.0
2024-08-05,454.0,470636,229016.0
2024-08-02,466.3,463453,206763.0
2024-07-31,483.2,281131,187513.0
2024-07-30,484.3,194634,180081.0
2024-07-29,478.8,117963,182663.0
2024-07-26,478.8,201052,186929.0
2024-07-25,474.6,166385,184288.0
2024-07-24,474.6,153354,184584.0
2024-07-23,474.9,151065,189549.0
2024-07-22,473.9,262738,199596.0
2024-07-19,472.5,281782,194149.0
2024-07-18,479.1,153543,188837.0
2024-07-17,476.7,155789,191400.0
2024-07-16,476.0,198603,197898.0
2024-07-15,480.5,183108,196505.0
2024-07-12,481.9,136839,196031.0
2024-07-11,481.0,174702,237939.0
2024-07-10,481.1,169652,239498.0
2024-07-09,475.6,233374,242644.0
2024-07-08,475.5,181949,240603.0
2024-07-05,471.0,161437,242301.0
2024-07-04,474.6,170819,242360.0
2024-07-03,473.0,227835,242474.0
2024-07-02,476.8,301765,240211.0
2024-07-01,482.8,181045,237774.0
2024-06-28,479.1,202100,236919.0
2024-06-27,480.1,191980,235847.0
2024-06-26,480.2,253269,240627.0
2024-06-25,485.3,177696,239711.0
2024-06-24,487.2,176000,240833.0
2024-06-21,482.8,765469,244899.0
2024-06-20,486.0,198075,224857.0
2024-06-19,482.7,216848,223244.0
2024-06-18,479.6,202759,220963.0
2024-06-17,475.6,207423,219113.0
2024-06-14,471.4,162322,217606.0
2024-06-13,472.9,172530,218356.0
2024-06-12,474.3,193882,220069.0
2024-06-11,470.4,265214,223596.0
2024-06-10,476.4,168224,223066.0
2024-06-07,479.6,186013,243705.0
2024-06-06,478.9,263679,267210.0
2024-06-05,474.6,239534,266730.0
2024-06-04,470.3,194522,269188.0
2024-06-03,474.0,236994,270113.0
2024-05-31,473.7,464833,269694.0
2024-05-30,469.2,173887,257070.0
2024-05-29,471.0,182631,262006.0
2024-05-28,468.7,175001,265422.0
2024-05-27,472.4,184821,269783.0
2024-05-24,470.0,173573,276864.0
2024-05-23,471.7,198225,283212.0
2024-05-22,471.6,246794,286742.0
2024-05-21,472.8,257262,288977.0
2024-05-17,471.8,477799,289380.0
2024-05-16,469.1,538589,277067.0
2024-05-15,453.3,256490,256970.0
2024-05-14,452.5,276396,257104.0
2024-05-13,455.1,208396,262378.0
2024-05-10,457.4,230706,269354.0
2024-05-08,455.5,275479,279556.0
2024-05-07,451.6,247935,283782.0
2024-05-06,446.0,233865,280916.0
2024-05-03,439.0,240410,306105.0
2024-05-02,440.7,291036,320471.0
2024-04-30,444.2,268796,323748.0
2024-04-29,444.3,251178,323974.0
2024-04-26,439.9,280313,320485.0
2024-04-25,442.6,263305,320901.0
2024-04-24,446.3,293114,319644.0
2024-04-23,453.8,237130,325019.0
2024-04-22,451.4,258499,326919.0
2024-04-19,448.4,355501,326581.0
2024-04-18,443.0,313049,321511.0
2024-04-17,445.7,383735,316604.0
2024-04-16,445.6,338857,310027.0
2024-04-15,453.7,204954,302128.0
2024-04-12,451.5,611698,309813.0
2024-04-11,469.2,455905,288315.0
2024-04-10,475.1,340179,280323.0
2024-04-09,470.8,272192,277356.0
2024-04-08,475.4,198840,321141.0
2024-04-05,473.6,286553,329528.0
2024-04-04,479.0,244451,331980.0
2024-04-03,478.3,373738,332495.0
2024-04-02,483.6,265638,326424.0
2024-03-28,486.3,253426,327936.0
2024-03-27,485.0,279446,334593.0
2024-03-26,485.4,239445,329038.0
2024-03-25,485.2,285090,324859.0
2024-03-22,484.9,220369,320515.0
2024-03-21,485.6,320220,320985.0
2024-03-20,488.1,289227,328828.0
2024-03-19,486.3,336036,331133.0
2024-03-18,485.5,295672,321739.0
2024-03-15,486.6,928971,318162.0
2024-03-14,486.6,324644,274236.0
2024-03-13,487.3,323329,300090.0
2024-03-12,485.3,252170,294521.0
2024-03-11,482.7,282672,299933.0
2024-03-08,478.4,288322,289172.0
2024-03-07,478.8,353278,284371.0
2024-03-06,474.3,196118,273965.0
2024-03-05,470.2,176766,278565.0
2024-03-04,465.5,219938,281492.0
2024-03-01,467.0,227412,285886.0
2024-02-29,470.0,437869,286194.0
2024-02-28,470.4,323801,280795.0
2024-02-27,465.0,195122,271832.0
2024-02-26,465.3,242025,270262.0
2024-02-23,463.0,270078,264874.0
2024-02-22,458.9,712446,259863.0
2024-02-21,447.1,239792,233394.0
2024-02-20,443.9,333354,232941.0
2024-02-19,440.5,121266,230450.0
2024-02-16,441.4,216303,233731.0
2024-02-15,441.6,197178,230735.0
