Date,ZURN SW Equity - 3 Month 100% Moneyness Implied Volatility
2024-10-25,
2024-10-24,14.454
2024-10-23,14.0134
2024-10-22,14.7228
2024-10-21,14.1699
2024-10-18,14.1825
2024-10-17,15.1803
2024-10-16,14.3649
2024-10-15,14.3824
2024-10-14,14.4702
2024-10-11,14.3876
2024-10-10,14.7254
2024-10-09,15.0462
2024-10-08,15.8116
2024-10-07,14.9537
2024-10-04,14.831
2024-10-03,15.2909
2024-10-02,15.1071
2024-10-01,15.4172
2024-09-30,14.6899
2024-09-27,14.4464
2024-09-26,14.5535
2024-09-25,14.2915
2024-09-24,14.1921
2024-09-23,14.1248
2024-09-20,14.3434
2024-09-19,14.6345
2024-09-18,14.8761
2024-09-17,14.721
2024-09-16,14.717
2024-09-13,14.8411
2024-09-12,15.0362
2024-09-11,14.8402
2024-09-10,15.4091
2024-09-09,14.7662
2024-09-06,16.0971
2024-09-05,13.6044
2024-09-04,14.5569
2024-09-03,14.1542
2024-09-02,13.4923
2024-08-30,13.4666
2024-08-29,14.0915
2024-08-28,13.7854
2024-08-27,13.68
2024-08-26,14.0538
2024-08-23,13.847
2024-08-22,13.8746
2024-08-21,13.9922
2024-08-20,14.2812
2024-08-19,14.197
2024-08-16,13.9173
2024-08-15,13.2131
2024-08-14,14.3038
2024-08-13,15.2159
2024-08-12,15.0461
2024-08-09,15.7356
2024-08-08,16.4239
2024-08-07,16.3528
2024-08-06,18.1332
2024-08-05,18.774
2024-08-02,17.6032
2024-07-31,14.4609
2024-07-30,14.5067
2024-07-29,14.1998
2024-07-26,14.5597
2024-07-25,14.5858
2024-07-24,14.2484
2024-07-23,14.0079
2024-07-22,14.3526
2024-07-19,14.8843
2024-07-18,13.9676
2024-07-17,14.1341
2024-07-16,14.196
2024-07-15,13.8101
2024-07-12,13.7316
2024-07-11,13.6605
2024-07-10,14.2708
2024-07-09,14.231
2024-07-08,14.4112
2024-07-05,14.2358
2024-07-04,14.3617
2024-07-03,14.1576
2024-07-02,14.0014
2024-07-01,13.7142
2024-06-28,14.2019
2024-06-27,13.8922
2024-06-26,14.1634
2024-06-25,13.562
2024-06-24,14.5122
2024-06-21,13.673
2024-06-20,13.7998
2024-06-19,13.6577
2024-06-18,14.2864
2024-06-17,14.5071
2024-06-14,14.7089
2024-06-13,14.0462
2024-06-12,13.9066
2024-06-11,14.1858
2024-06-10,13.8337
2024-06-07,13.4938
2024-06-06,13.2944
2024-06-05,13.4275
2024-06-04,13.4977
2024-06-03,13.1384
2024-05-31,13.3069
2024-05-30,13.4955
2024-05-29,13.5401
2024-05-28,13.706
2024-05-27,13.6448
2024-05-24,13.5843
2024-05-23,13.2199
2024-05-22,13.3359
2024-05-21,13.2984
2024-05-17,13.2266
2024-05-16,13.0969
2024-05-15,13.8945
2024-05-14,14.1814
2024-05-13,14.0828
2024-05-10,14.0759
2024-05-08,14.248
2024-05-07,14.377
2024-05-06,14.7565
2024-05-03,15.4761
2024-05-02,15.5761
2024-04-30,15.4945
2024-04-29,15.4358
2024-04-26,16.0457
2024-04-25,16.1905
2024-04-24,15.8919
2024-04-23,15.3205
2024-04-22,15.7388
2024-04-19,16.1122
2024-04-18,16.3925
2024-04-17,16.3354
2024-04-16,16.7443
2024-04-15,16.1624
2024-04-12,16.2867
2024-04-11,15.0534
2024-04-10,14.9351
2024-04-09,14.6441
2024-04-08,14.339
2024-04-05,15.065
2024-04-04,13.7693
2024-04-03,13.7842
2024-04-02,14.2115
2024-03-28,13.686
2024-03-27,13.6247
2024-03-26,13.4944
2024-03-25,14.0732
2024-03-22,13.8102
2024-03-21,13.072
2024-03-20,13.8239
2024-03-19,13.4825
2024-03-18,13.3787
2024-03-15,13.6663
2024-03-14,13.2649
2024-03-13,12.8133
2024-03-12,13.3256
2024-03-11,13.9394
2024-03-08,13.1215
2024-03-07,12.9288
2024-03-06,12.8352
2024-03-05,12.0101
2024-03-04,13.2067
2024-03-01,12.9938
2024-02-29,13.9763
2024-02-28,13.7607
2024-02-27,13.4373
2024-02-26,13.6193
2024-02-23,13.7722
2024-02-22,13.1108
2024-02-21,13.9485
2024-02-20,14.713
2024-02-19,14.954
2024-02-16,15.8206
2024-02-15,15.5245
2024-02-14,15.6088
2024-02-13,14.6172
2024-02-12,15.3331
2024-02-09,15.3171
2024-02-08,14.8974
2024-02-07,14.4523
2024-02-06,14.6592
2024-02-05,13.8113
2024-02-02,14.7444
2024-02-01,15.0854
2024-01-31,14.4747
2024-01-30,14.0599
2024-01-29,13.1963
2024-01-26,12.728
2024-01-25,12.0888
2024-01-24,11.9808
2024-01-23,12.1057
2024-01-22,12.0093
2024-01-19,13.3972
2024-01-18,14.1039
2024-01-17,13.7452
2024-01-16,13.1857
2024-01-15,13.5356
2024-01-12,13.6311
2024-01-11,13.7492
2024-01-10,14.2341
2024-01-09,13.5786
2024-01-08,13.8685
2024-01-05,13.8568
2024-01-04,13.91
2024-01-03,14.1097
2023-12-29,13.4861
2023-12-28,13.5019
2023-12-27,13.6208
2023-12-22,13.7805
2023-12-21,13.7301
2023-12-20,13.306
2023-12-19,13.2337
2023-12-18,13.3366
2023-12-15,13.1491
2023-12-14,13.1821
2023-12-13,13.171
2023-12-12,12.5988
2023-12-11,12.8962
2023-12-08,12.7487
2023-12-07,12.6235
2023-12-06,12.6607
2023-12-05,12.5382
2023-12-04,12.6445
2023-12-01,12.5606
2023-11-30,13.0234
2023-11-29,13.3396
2023-11-28,13.0844
2023-11-27,13.2378
2023-11-24,13.0043
2023-11-23,13.4999
2023-11-22,13.5997
2023-11-21,13.6841
2023-11-20,13.3491
2023-11-17,13.4967
2023-11-16,13.9815
2023-11-15,14.1659
2023-11-14,14.0495
2023-11-13,14.2059
2023-11-10,14.5402
2023-11-09,14.5738
2023-11-08,15.0885
2023-11-07,15.273
2023-11-06,15.2402
2023-11-03,15.2385
2023-11-02,15.1778
2023-11-01,15.6032
2023-10-31,15.7948
2023-10-30,15.9477
2023-10-27,16.3945
2023-10-26,15.9736
2023-10-25,15.79
